modern;traditional
l'état — c'est moi;«госуда́рство — э́то я» — фра́за Людо́вика XIV (фр.)
lettres de cachet;та́йные прика́зы короля́ объ аре́стѣ и́ли ссы́лкѣ (фр.)
lex;зако́нъ (лат.)
lex et regio;сообра́зно мѣ́стнымъ зако́намъ (лат.)
lex naturae;зако́нъ приро́ды (лат.)
lex specialis derogat generali;спеціа́льный зако́нъ отмѣня́етъ о́бщій зако́нъ (лат.)
liberté, égalité, fraternité;свобо́да, ра́венство, бра́тство (фр.)
licet;дозволя́ется (лат.)
licentia poëtica;поэти́ческая во́льность (лат.)
lit de justice;засѣда́ніе францу́зскаго парла́мента въ прису́тствіи короля́ (фр.)
littera scripta manet;что напи́сано перо́мъ, того́ не вы́рубишь топоро́мъ (лат.)
litterae non crubescunt;бума́га всё те́рпитъ (лат.)
loco citato;въ упомя́нутомъ мѣ́стѣ (лат.)
lorem ipsum;про́бный заголо́вокъ (по умолча́нію) (лат.)
lorem ipsum dolor sit amet...;нача́ло про́бнаго те́кста (по умолча́нію) (лат.)
l'union fait la force;въ едине́ніи — си́ла (фр.)
ma chère;моя ми́лая (фр.)
madame;госпожа́, суда́рыня (фр.)
mademoiselle;госпожа́, суда́рыня (фр.)
maestoso;муз. — торже́ственно, вели́чественно (ит.)
maestro;учи́тель, преиму́щ. му́зыки (ит.)
maestro di capella;капельме́йстеръ (ит.)
magister dixit;такъ сказа́лъ учи́тель (лат.)
magna charta libertatum;вели́кая ха́ртія во́льностей (лат.)
magnum opus;вели́кая рабо́та (лат.)
maître;учи́тель (фр.)
maître d'hôtel;дворе́цкій (фр.)
mano destra;муз. — пра́вой руко́й (ит.)
mano sinistra;муз. — лѣ́вой руко́й (ит.)
manu militari;вооружённой руко́й (лат.)
manu propria;самовла́стно (лат.)
manus manum lavat;рука́ ру́ку мо́етъ (лат.)
mariage d'amour;бракъ по любви́ (фр.)
mariage de raison;бракъ по расчёту (фр.)
Mater doloroso;у като́ликовъ — изображе́ніе скорбя́щей Бо́жіей Ма́тери (лат.)
Mater familias;мать семе́йства (лат.)
mauvais genre;дурна́я мане́ра, дурно́й вкусъ (фр.)
mauvais sujet;негодя́й (фр.)
mauvais ton;дурны́я мане́ры, неумѣ́ніе держа́ть себя́ въ о́бществѣ (фр.)
maximum;ма́ксимумъ (лат.)
mea culpa;мой грѣ́хъ, моя́ вина́ (лат.)
mea maxima culpa;мой велича́йшій грѣ́хъ (лат.)
mea memoria;на мое́й па́мяти (лат.)
medice, cura te ipsum;врачу́, исцѣли́ся самъ (лат.)
melancolico;муз. — меланхоли́чно (ит.)
memento mori;по́мни о сме́рти (лат.)
me mortuo terra misceatur igni;«по́слѣ мое́й сме́рти хоть земля́ смѣша́ется съ огнёмъ» — по́слѣ насъ хоть пото́пъ (лат.)
mens sana in corpore sano;здоро́вый духъ въ здоро́вомъ тѣ́лѣ (лат.)
menu;ка́рта блю́дамъ (фр.)
merci;благодарю́ (фр.)
mésalliance;нера́вный бракъ (фр.)
messieurs;господа́, ми́лостивые госуда́ри (фр.)
mezza voce;муз. — пѣ́ніе вполго́лоса (ит.)
mezzo;муз. — уменьше́ніе си́лы зву́ка наполови́ну (ит.)
mezzo forte;муз. — наполови́ну сильнѣ́е (ит.)
mezzo-soprano;муз. — ни́зкій же́нскій диска́нтъ (ит.)
minimum;ми́нимумъ (лат.)
misce;смѣша́й (на реце́птахъ) (лат.)
miscellanea;сбо́рникъ ра́зныхъ стате́й, о́черковъ, разска́зовъ и т. п. (лат.)
moderato;муз. — умѣ́ренно (ит.)
mise en scène;постано́вка на сце́ну (фр.)
misericordia;сострада́ніе, милосе́рдіе (лат.)
modus operandi;о́бразъ дѣ́йствія, моде́ль поведе́нія (лат.)
modus vivendi;соглаше́ніе для вре́меннаго ула́женія спо́ра (лат.)
mon cher;мой ми́лый (фр.)
monseigneur;ми́лостивѣйшій госуда́рь, ва́ше превосходи́тельство (фр.)
monsieur;ми́лостивый госуда́рь, господи́нъ (фр.)
mont de piété;ссу́дная ка́сса, ломба́рдъ (фр.)
moral insanity;нра́вственное помѣша́тельство (англ.)
mosso;муз. — оживлённо (ит.)
motto;деви́зъ, изрече́ніе (ит.)
motu proprio;по со́бственному побужде́нію (лат.)
mutatis mutandis;сдѣ́лавъ соотвѣ́тствующія измѣне́нія (лат.)
mutato nomine;"измѣни́въ назва́ніе; подъ други́мъ и́менемъ (лат.)"
nascuntur poëtae, fiunt oratores;поэ́тами рожда́ются, ора́торами стано́вятся (лат.)
natura non facit saltus;приро́да не дѣ́лаетъ скачко́въ (лат.)
nature morte;мёртвая приро́да, уме́ршія или уби́тыя живо́тныя, воспроизводи́мыя въ жи́вописи, скульпту́рѣ и т. д. (фр.)
nec plus ultra;до кра́йнихъ предѣ́ловъ, до вы́сшей сте́пени (лат.)
nefas;несправедли́вость, беззако́ніе (лат.)
nel tempo;муз. — въ тактъ (ит.)
nemo;никто́ (лат.)
nervus rerum;суть дѣ́ла, гла́вное дѣ́ло (лат.)
netto;не́тто (ит.)
nie pozwalam;не позволя́ю, протесту́ю (польск.)
nil admirari;ничему́ не слѣ́дуетъ удивля́ться (лат.)
nil novi sub sole;ничто́ не но́во подъ со́лнцемъ (лат.)
noblesse oblige;положе́ніе обя́зываетъ (фр.)
nolens-volens;во́лей-нево́лей (лат.)
nolt me tangere;«не тронь меня́» — мимо́за (лат.)
nomen nescio;и́мя неизвѣ́стно — N. N. (лат.)
nomina sunt odiosa;объ имена́хъ ума́лчивается (лат.)
non bis in idem;нельзя́ нака́зывать два́жды за одно́ и то же преступле́ніе (лат.)
non multa, sed multum;въ немно́гихъ слова́хъ мно́го содержа́нія (лат.)
non plus ultra;до-не́льзя, до кра́йнихъ предѣ́ловъ, до вы́сшей сте́пени (лат.)
non possumus;категори́ческій отка́зъ (лат.)
nonsens;безсмы́слица (лат.)
nosce te ipsum;позна́й самого́ себя́ (лат.)
nota bene;замѣ́ть хороше́нько — NB. (лат.)
Notre Dame;Богоро́дица (фр.)
notturno;ноктю́рнъ (ит.)
nouveautés;но́вости мо́ды (фр.)
novus ordo seclorum;поря́докъ но́ваго вѣ́ка (лат.)
nulla dies sine linea;ни дня безъ заня́тій (лат.)
odi et amo;ненави́жу и люблю́ (лат.)
odi profanum vulgus;«ненави́жу непросвѣщённую че́рнь» (Гора́цій) (лат.)
oeuvres;собра́ніе сочине́ній (фр.)
ohne Hast, ohne Rast;не спѣша́, безъ о́тдыха (нѣм.)
oleum;ма́сло (лат.)
omne vivum ex ovo;всё живо́е выхо́дитъ изъ яйца́ (лат.)
omnia mea mecum porto;всё своё ношу́ съ собо́ю (лат.)
omnium consensu;съ о́бщаго согла́сія (лат.)
onus probandi;бре́мя доказа́тельствъ (лат.)
opera et studio;трудо́мъ и страда́ніемъ (лат.)
optimus maximus;«лу́чшій и велича́йшій» — Юпи́теръ (лат.)
opus;трудъ, сочине́ніе (лат.)
ora et labora;моли́сь и труди́сь (лат.)
orbis terrarum;земно́й шаръ, кругъ земно́й (лат.)
ordre du jour;поря́докъ дня, заня́тій, собра́нія (фр.)
o sancta simplicitas;о свята́я простота́! (лат.)
o tempora, o mores!;о времена́, о нра́вы! (лат.)
panem et circenses!;хлѣ́ба и зрѣ́лищъ! (лат.)
papeterie;пи́сьменныя принадле́жности, ла́вка съ о́ными (фр.)
